	subject	acc	f1
0	K300	0.5	0.4849725243916115
1	K309	0.5991379310344828	0.5873695227078687
2	K311	0.5	0.3660278865306683
3	K312	0.5	0.392832027934722
4	K313	0.43297803617571057	0.29472744046928734
5	K314	0.49702380952380953	0.46292986564772587
6	K315	0.5	0.3498001142204454
7	K316	0.4094951923076923	0.3923504461020915
8	K320	0.428171268507403	0.30400000000000005
9	K321	0.37592592592592594	0.3758314992952348
10	K322	0.6826923076923077	0.6819571865443426
11	K323	0.5925925925925926	0.4921543826063175
12	K324	0.5611879160266258	0.5501653486700215
13	K325	0.5968627450980393	0.5590563516370751
14	K327	0.5175438596491229	0.3846774694232321
15	K328	0.5049183992845965	0.49706818562573296
16	K329	0.5	0.33844260460953235
17	K332	0.5196078431372549	0.3754841934274647
18	K335	0.5131578947368421	0.30559725293823314
19	K336	0.5597014925373134	0.4702678054600654
20	K337	0.8333333333333334	0.8332046332046331
21	K338	0.7774193548387096	0.772100601604278
22	K339	0.6217542424861991	0.6183651900836428
23	K354	0.607453893442623	0.5584736251402919
24	K355	0.5216068167985393	0.44082793571991885
25	K358	0.5	0.3591245716812203
26	K359	0.5258620689655172	0.3657597114475233
27	K360	0.5454545454545454	0.45467032967032966
28	K361	0.5	0.3246891361256545
29	K362	0.44776119402985076	0.31321827885776615
30	K364	0.5149010002041233	0.3939651567944251
31	K366	0.5	0.3958740276207121
32	K368	0.5112295393985535	0.4225432738176366
33	K369	0.5252892117298897	0.4787066571058856
34	K370	0.45205278592375364	0.45339178126063373
35	K371	0.5	0.37692307692307697
36	K372	0.5	0.31987205117952816
37	K373	0.5169491525423728	0.34227776899757184
38	K374	0.4735074626865671	0.47280048897997334
39	K375	0.4869047619047619	0.4370056173334862
