	subject	acc	f1
0	K300	0.25	0.1962604098118859
1	K309	0.29551820728291317	0.1955928171445413
2	K311	0.22033461816520017	0.1834471185633976
3	K312	0.2665144596651446	0.21917219194446916
4	K313	0.3395204797821077	0.24334289713308177
5	K314	0.259012539184953	0.2205646843500612
6	K315	0.25	0.10398760637507695
7	K316	0.25	0.11795951795951795
8	K320	0.32633053221288516	0.30428944396156293
9	K321	0.13232323232323231	0.08023640661938534
10	K322	0.2921380090497738	0.2378784846452652
11	K323	0.25	0.09386973180076628
12	K324	0.0876010781671159	0.05276393734588199
13	K325	0.25	0.08895822991277214
14	K327	0.2835365853658537	0.15820083178184713
15	K328	0.37453493765244866	0.3345273800333697
16	K329	0.25925925925925924	0.12231317070026748
17	K332	0.2613275613275613	0.13326910876665335
18	K335	0.25	0.10871253300201895
19	K336	0.4134701492537314	0.3498067092481986
20	K337	0.23755941770647654	0.2310151694555464
21	K338	0.4679244422138067	0.36765594068411145
22	K339	0.2784570213246504	0.21131714237603738
23	K354	0.26171875	0.11423783589682206
24	K355	0.2538593481989708	0.12401022304832714
25	K358	0.3847443835833928	0.32876947700873366
26	K359	0.3313679245283019	0.23982750995134897
27	K360	0.3572567783094099	0.2465070643642072
28	K361	0.2720855044798707	0.20362536906654552
29	K362	0.20058796924468567	0.145045379060179
30	K364	0.2898550724637681	0.1646730590736544
31	K366	0.18146031061259707	0.1362768230145907
32	K368	0.2279453375739458	0.18714599458312145
33	K369	0.3219632768361582	0.2366704721278102
34	K370	0.26392045454545454	0.17771092140123637
35	K371	0.25	0.09322372284204346
36	K372	0.25416666666666665	0.10111109651056518
37	K373	0.15706073113207547	0.1272992722598076
38	K374	0.3714948608605325	0.3182317029375853
39	K375	0.2537202380952381	0.17173051012721205
