	subject	acc	f1
0	K300	0.6293624565043664	0.649042581017579
1	K309	0.48386726110666356	0.4926325131155772
2	K311	0.474954754266901	0.4990306315874292
3	K312	0.544929604261796	0.5583983947490356
4	K313	0.5188626126126126	0.5194992201678366
5	K314	0.45410229138677416	0.44553094126606624
6	K315	0.5306727994227994	0.4997894212001691
7	K316	0.4314855356060745	0.418204797215292
8	K320	0.38207783113245297	0.37264742677139734
9	K321	0.19760702260702262	0.18714967055385548
10	K322	0.28846153846153844	0.2699848728834236
11	K323	0.43215063803299103	0.4413845125032199
12	K324	0.49390542126771586	0.47335318520751446
13	K325	0.49876169980187196	0.49247151505111086
14	K327	0.3159465320729762	0.32512806813765677
15	K328	0.48641876289811203	0.5015995608775098
16	K329	0.4493474476446612	0.4476830693799665
17	K332	0.47324929971988794	0.4661304894430521
18	K335	0.2722152901828832	0.28335774951567916
19	K336	0.5906218905472637	0.576971307100385
20	K337	0.30217617349970294	0.2812307751151511
21	K338	0.5485696035041292	0.5020720782783282
22	K339	0.44019840595602033	0.4446680780306917
23	K354	0.43961029815281866	0.41512457799009206
24	K355	0.36203037680517897	0.3535809523809524
25	K358	0.5335794236723029	0.5240806473718571
26	K359	0.4438310144637405	0.4349991189128633
27	K360	0.5319582067114962	0.5058672653520468
28	K361	0.2610122272094103	0.20217578739276149
29	K362	0.20798820582402672	0.20892246689258856
30	K364	0.295781850802478	0.292217137809843
31	K366	0.4910342820334015	0.4986656946400714
32	K368	0.5263346469124934	0.5304984844179218
33	K369	0.420137207425343	0.3760092608976682
34	K370	0.41948204210761186	0.40590888142522
35	K371	0.11180124223602485	0.13220395467138876
36	K372	0.4554818658196273	0.4531855856940564
37	K373	0.26893163375439716	0.27078954459419485
38	K374	0.37672580321834054	0.37469493498567086
39	K375	0.4102058531746032	0.3987809265223153
