	subject	acc	components
0	K335	0.4508957098141159	9
1	K336	0.3576801591507473	28
2	K337	0.26176291838056537	15
3	K338	0.3647498443821973	13
4	K339	0.3643577981438763	2
5	K342	0.3842747429703952	19
6	K343	0.281981774264383	13
7	K344	0.3652770236778233	16
8	K350	0.31953849308229926	30
9	K351	0.31881232598144366	2
10	K352	0.33603586957245496	6
11	K354	0.42226080246913583	9
12	K355	0.4499890432834445	18
13	K357	0.25217813051146387	31
14	K358	0.5792133313685038	30
15	K359	0.3598765432098765	4
16	K360	0.34766852413911237	5
17	K361	0.3275568181818182	1
18	K362	0.3154618944866623	24
19	K364	0.2713046757164404	20
20	K365	0.3893004459308807	25
21	K366	0.44673292084157956	10
22	K368	0.26624588389294274	15
23	K369	0.42478718637992835	31
24	K370	0.364975592502706	4
25	K371	0.2856958937326012	16
26	K372	0.356351970162454	27
27	K373	0.31240769034886684	31
28	K374	0.4802019671504966	23
29	K375	0.5236319910263181	25
