	subject	acc	f1
0	K300	0.5644208037825059	0.60897568194361
1	K309	0.5518518518518518	0.5338815789473684
2	K311	0.5618686868686869	0.49153744805918725
3	K312	0.5471841704718416	0.5245695307506276
4	K313	0.4518733850129199	0.3953554773008471
5	K314	0.5451839826839826	0.5232933941611938
6	K315	0.5151515151515151	0.3817762399077278
7	K316	0.43939393939393934	0.4357405140758873
8	K320	0.52	0.5073891625615763
9	K321	0.5057239057239058	0.4968886298691533
10	K322	0.5288461538461539	0.5046174783707593
11	K323	0.5153061224489797	0.5147461523817892
12	K324	0.5053763440860215	0.4889083245521602
13	K325	0.49941176470588233	0.37408132827801827
14	K327	0.525	0.511846728730737
15	K328	0.530241935483871	0.4070716811314689
16	K329	0.5483164983164983	0.5243809079334668
17	K332	0.5960648148148149	0.5977674894197177
18	K335	0.559641932700604	0.5278255839948334
19	K336	0.5633291873963516	0.5187631596167688
20	K337	0.4513888888888889	0.4511506730351715
21	K338	0.696969696969697	0.6952205033479565
22	K339	0.5220588235294117	0.5213064806513452
23	K354	0.5599385245901639	0.560056334421612
24	K355	0.5094339622641509	0.3969111403894013
25	K358	0.5384615384615384	0.436143876510849
26	K359	0.557504873294347	0.49654161418867293
27	K360	0.49365274365274364	0.47813535814194036
28	K361	0.5625	0.5333333333333333
29	K362	0.5084803256445047	0.43244690830374377
30	K364	0.4889705882352941	0.4115646258503402
31	K366	0.5081967213114754	0.4121044377607279
32	K368	0.47421012561857634	0.4725950028438025
33	K369	0.4559139784946237	0.43905278257721236
34	K370	0.4385964912280702	0.42949473875181415
35	K371	0.4785714285714286	0.3662631784459195
36	K372	0.5607142857142857	0.5019382090057656
37	K373	0.5685897435897436	0.5602284527518172
38	K374	0.567910447761194	0.5492004000010724
39	K375	0.444047619047619	0.3770722031591597
